manufacturer,diameter,impulseClass,my_Isp,total_impulse
AeroTech,29.0,G,154.434250764526,90.9
AeroTech,29.0,H,202.47120044385895,231.0
AeroTech,38.0,I,197.35144243663245,351.0
AeroTech,38.0,J,203.2551180650787,723.0
AeroTech,54.0,K,168.865000669282,1968.0
AeroTech,54.0,I,191.77151262107904,412.0
AeroTech,54.0,I,211.67488402088662,407.0
AeroTech,54.0,I,195.5422253587391,399.0
AeroTech,54.0,I,211.66261533234007,404.9
AeroTech,54.0,I,151.43697327410092,361.0
AeroTech,54.0,J,153.0098566814653,731.0
AeroTech,54.0,K,156.56822544149938,1496.0
AeroTech,54.0,K,157.39695139923663,2120.0
Gorilla Rocket Motors,54.0,K,181.9179800831177,1740.0
Gorilla Rocket Motors,54.0,K,182.57142110353118,1397.0
Gorilla Rocket Motors,54.0,J,184.24266001015766,1023.0
Gorilla Rocket Motors,54.0,K,167.43119266055044,1314.0
Gorilla Rocket Motors,54.0,J,161.39993204213388,950.0
Gorilla Rocket Motors,54.0,J,173.66436456813187,1121.0
Gorilla Rocket Motors,54.0,J,174.50024358391772,852.5
Gorilla Rocket Motors,54.0,K,164.72986748216104,1616.0
Gorilla Rocket Motors,54.0,K,160.83361649110884,1420.0
AeroTech,24.0,E,133.49643221202854,32.74
AeroTech,38.0,I,187.9223770151395,597.3
Cesaroni Technology,38.0,I,209.34981476533093,634.6
Cesaroni Technology,98.0,L,204.38011662582863,4842.0
Cesaroni Technology,98.0,M,211.08335562940346,10130.0
Cesaroni Technology,98.0,M,209.41792455325955,7441.0
Cesaroni Technology,98.0,M,210.099551942392,9955.0
Cesaroni Technology,98.0,N,210.3290952245837,14010.0
Loki Research,54.0,J,178.6231985710144,1146.0
Loki Research,54.0,J,175.65470217174527,1108.0
Contrail Rockets,38.0,H,144.87213579754464,261.5
Apogee Components,29.0,F,189.24566768603466,74.26
Apogee Components,24.0,E,175.1459549624687,37.8
Quest Aerospace,20.0,D,79.9592252803262,19.61
AeroTech,54.0,K,206.19060976133494,1762.0
AeroTech,75.0,M,209.9599487521642,5485.0
AeroTech,98.0,M,201.44653172176106,7802.0
AeroTech,29.0,G,200.475705062861,118.0
Cesaroni Technology,161.0,O,224.35955371291507,40960.0
Cesaroni Technology,161.0,O,223.67637441130583,30610.0
Cesaroni Technology,38.0,G,231.91446545860015,140.6
Cesaroni Technology,38.0,H,195.40384961323974,260.7
Cesaroni Technology,38.0,H,225.31661437869687,273.2
Cesaroni Technology,38.0,I,224.10700834738125,407.6
